latitude,longitude,osm_industrial_nearby,osm_distance_km,osm_type,label
23.77887,86.20667,1,1.793251216530899,industrial,1
23.77753,86.20808,1,1.9979172765792372,industrial,1
23.77834,86.21095,1,2.1862511498879345,industrial,1
23.77633,86.20891,1,2.1474442331589985,industrial,1
23.77631,86.21053,1,2.2782290207883555,industrial,1
23.78365,86.21069,1,1.9178228866482256,industrial,1
23.77851,86.20951,1,2.0524307325335016,industrial,1
23.77824,86.20811,1,1.9525500821829314,industrial,1
23.78363,86.20749,1,1.6096675936354519,industrial,1
23.78398,86.20957,1,1.7981199697894448,industrial,1
23.7796,86.21033,1,2.060924975341031,industrial,1
23.78129,86.21094,1,2.0327690258524354,industrial,1
23.78354,86.20892,1,1.750125448043027,industrial,1
23.78025,86.20966,1,1.9663834310432353,industrial,1
23.69332,87.12164,1,0.1469317396046603,industrial,1
23.689,87.12424,1,0.35922692227424635,industrial,1
23.69462,87.11945,1,0.18185199129520416,industrial,1
23.69266,87.11668,1,0.3634184410584016,industrial,1
23.68999,87.1214,1,0.3706383505906719,industrial,1
23.69407,87.11578,1,0.3854738346423966,industrial,1
23.69106,87.12294,1,0.36159645689594394,industrial,1
20.24707,79.72549,0,,,0
22.1848,83.16045,0,,,0
14.23132,78.61565,0,,,0
23.25382,87.32491,0,,,0
19.89444,81.14313,0,,,0
24.13387,87.35892,0,,,0
21.58581,80.81877,0,,,0
19.32385,79.8138,0,,,0
26.7562,90.83886,0,,,0
12.87618,79.48801,0,,,0
31.99774,77.21637,0,,,0
29.38958,79.87385,0,,,0
24.71428,93.68183,0,,,0
8.47262,77.25905,0,,,0
23.73286,76.11758,1,0.1533950363909738,plant,1
17.98043,80.25389,0,,,0
23.93191,92.48569,0,,,0
30.89606,78.66266,0,,,0
20.96093,83.07446,1,2.308483222639001,plant,1
21.68033,80.90933,0,,,0
24.61925,79.73558,0,,,0
14.04621,77.85646,0,,,0
23.56143,82.58011,0,,,0
23.8943,85.36259,1,1.2664774636674896,brickyard,1
13.47149,76.82653,0,,,0
20.9647,84.00983,0,,,0
21.41655,82.15426,0,,,0
19.70818,80.0876,0,,,0
22.57062,74.13011,0,,,0
23.68499,79.90781,0,,,0
23.94065,85.13322,0,,,0
12.30533,77.49908,0,,,0
22.35593,80.10098,0,,,0
24.46869,82.22128,0,,,0
20.9115,82.97462,0,,,0
21.74295,83.19047,0,,,0
22.93251,92.84918,0,,,0
24.49327,87.48455,0,,,0
20.37505,84.84499,0,,,0
25.53075,92.57452,0,,,0
18.32008,80.95556,0,,,0
19.04611,82.74194,0,,,0
16.51945,78.73743,0,,,0
17.75578,80.41224,0,,,0
21.5408,75.44334,0,,,0
14.24559,78.12537,0,,,0
22.57015,92.68044,0,,,0
13.97331,77.96635,0,,,0
17.94108,82.45182,0,,,0
20.61046,83.8128,0,,,0
20.8187,84.13767,0,,,0
25.40215,94.51363,0,,,0
18.30453,82.85468,0,,,0
28.09803,77.75761,0,,,0
25.16521,91.80121,0,,,0
18.25447,79.82493,0,,,0
19.50047,80.39898,0,,,0
25.84339,77.20586,0,,,0
18.20591,77.8649,0,,,0
19.22636,78.65232,0,,,0
23.06599,81.87469,0,,,0
25.9449,92.4696,0,,,0
25.40075,91.42207,0,,,0
19.86652,81.46999,0,,,0
22.21028,84.23367,0,,,0
20.00011,82.58466,0,,,0
17.35883,79.378,0,,,0
17.91093,80.43752,0,,,0
24.63355,93.55526,0,,,0
22.02699,82.59959,0,,,0
14.14939,77.43002,0,,,0
21.27184,78.62096,1,2.7119689487772733,plant,1
17.81016,82.07381,0,,,0
25.278,78.37903,0,,,0
17.93676,80.38537,0,,,0
17.17417,78.9613,0,,,0
18.1736,78.38286,0,,,0
18.8224,81.82412,0,,,0
19.99866,82.4759,0,,,0
13.98044,76.42042,0,,,0
23.55136,87.17259,0,,,0
23.48837,87.77625,0,,,0
21.80581,77.08236,0,,,0
20.5484,82.37885,0,,,0
20.11597,81.46638,0,,,0
17.68292,75.78156,1,2.6316089874386956,works,1
24.10026,92.80691,0,,,0
21.88814,83.60103,0,,,0
22.41799,77.01691,0,,,0
25.76192,77.17622,0,,,0
17.26274,81.93427,0,,,0
22.00442,82.26474,0,,,0
17.67775,82.26587,0,,,0
15.94273,78.83393,0,,,0
19.17789,79.21987,0,,,0
25.63399,93.03118,0,,,0
25.71283,93.63054,0,,,0
28.12601,79.99741,0,,,0
24.8426,86.12251,0,,,0
26.83721,95.34166,0,,,0
